ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
56,2,1488,712,38,3447,9702,2.70E+05,83.3,41.92,6.24E+05,1.149,6.94E+05,6.94E+04,17.28,0.763,45.16,26.22,53.09,19.49,29.41,26.45,10.33,7686,725.7
57,2,1555,909,44,2976,6516,1.86E+05,68.26,39.58,4.30E+05,0.633,2.63E+05,2.63E+04,15.46,0.6651,46.55,19.93,46.27,17.25,29.78,48.62,19.22,6636,669
58,2,872,1455,47,1984,6484,1.79E+05,68.1,39.41,4.13E+05,0.5272,2.11E+05,2.11E+04,24.43,1.144,22.54,13.33,22,11.76,36.79,72.12,39.79,4424,445
59,2,1645,1639,36,933,1860,4.99E+04,36.47,37.96,1.15E+05,0.1612,1.80E+04,1797,8.615,0.3632,25.15,25.15,36.9,6.497,27.53,176.5,38.71,2080,283.7
60,2,982,2312,57,329,536,1.47E+04,19.58,37.1,3.40E+04,0.1706,5606,560.6,5.147,0.1826,11.94,9.454,nan,11.13,nan,nan,nan,733.6,134.4
61,2,795,1503,51,1201,2410,6.48E+04,41.52,37.09,1.50E+05,0.1703,2.47E+04,2467,10.43,0.4594,41.41,14.97,36.45,26.07,30.68,186.2,135.5,2678,436
62,2,1493,1597,39,405,675,1.93E+04,21.97,36.91,4.47E+04,0.1153,4982,498.2,nan,nan,16.98,11.6,14.49,6.552,nan,nan,nan,903,152.3
63,2,1651,1576,39,726,1202,3.30E+04,29.32,36.76,7.62E+04,0.03035,2237,223.7,5.104,0.1749,28.95,12.91,26.02,14.53,10.31,351,200.6,1619,227
64,2,963,1416,56,657,1260,3.42E+04,30.02,36.69,7.89E+04,0.1634,1.25E+04,1248,6.821,0.2672,25.18,25.18,36.95,14.75,25.23,159.6,66.84,1465,227
65,2,831,1125,43,1036,2475,6.85E+04,42.07,36.5,1.58E+05,0.1282,1.96E+04,1962,8.798,0.4022,29.35,29.35,44.34,3.931,25.12,202.6,32.8,2310,265.8
66,2,829,1987,47,869,1202,3.38E+04,29.32,36.45,7.81E+04,0.1799,1.36E+04,1360,6.703,0.2371,24.78,24.78,36.23,13.33,24.14,138.7,53.78,1938,265.8
67,2,1413,1860,59,940,1438,3.80E+04,32.07,36.4,8.78E+04,0.1622,1.38E+04,1377,10.59,0.5016,31.64,9.373,21.76,7.528,32.2,205.2,76.42,2096,307.6
68,2,474,1955,13,664,1646,4.38E+04,34.31,36.28,1.01E+05,0.2855,2.80E+04,2798,12.27,0.5671,15.43,10.27,10.43,4.488,17.95,65,29.34,1481,215
69,2,1555,852,42,992,1593,4.32E+04,33.75,36.2,9.99E+04,0.2197,2.12E+04,2124,5.254,0.207,37.88,37.88,59.01,18.8,18.88,88.82,30.47,2212,289.7
70,2,1302,1638,54,2989,5345,1.41E+05,61.83,36.12,3.25E+05,0.01803,5669,566.9,13.98,0.6432,65.24,65.24,104.6,23.54,72.81,4175,1098,6665,767.5
71,2,963,1991,50,653,1088,2.97E+04,27.89,35.69,6.85E+04,0.1061,7035,703.5,5.183,0.1896,17.79,12.1,16.09,3.883,7.302,71.13,19.3,1456,200.1
72,2,915,2365,40,945,1388,3.66E+04,31.51,35.59,8.45E+04,0.1084,8867,886.7,7.008,0.306,30.12,30.12,45.68,8.558,30.75,293.1,67.29,2107,298.6
73,2,861,1578,44,842,1661,4.44E+04,34.47,35.58,1.03E+05,0.2338,2.32E+04,2321,8.688,0.3801,28.04,9.64,20.1,20.31,17.13,75.72,77.14,1877,244.9
74,2,454,1759,41,541,1120,3.05E+04,28.3,35.54,7.04E+04,0.1062,7234,723.4,5.319,0.224,18.18,13.39,18.24,6.828,8.494,82.64,32.76,1206,167.2
75,2,921,1160,42,1124,1995,5.27E+04,37.77,35.31,1.22E+05,0.02456,2894,289.4,8.835,0.4137,27.45,27.45,41,7.175,30.43,1281,284.7,2506,322.5
76,2,977,1308,35,520,787,2.15E+04,23.72,34.95,4.97E+04,0.06989,3362,336.2,5.16,0.1869,13.34,13.34,12.66,2.498,7.851,116.1,27.03,1159,179.2
77,2,1412,1392,50,459,1369,3.69E+04,31.29,34.91,8.53E+04,0.1477,1.22E+04,1220,10.53,0.481,13.94,9.096,4.982,6.801,7.494,52.43,71.92,1023,164.3
78,2,931,1130,46,606,841,2.24E+04,24.52,34.89,5.17E+04,0.0005983,29.92,2.992,7.217,0.3584,13.76,13.76,13.79,3.089,16.1,2.78E+04,7360,1351,224
79,2,826,1159,43,1018,1600,4.20E+04,33.83,34.83,9.70E+04,0.1084,1.02E+04,1018,8.699,0.3851,24.86,24.86,36.37,6.301,32.86,313.3,68.53,2270,343.4
80,2,1110,1134,37,1483,2876,7.98E+04,45.35,34.77,1.84E+05,0.4452,7.95E+04,7946,5.333,0.2262,44.26,15.28,38.43,4.23,6.862,15.93,2.727,3307,322.5
81,2,891,2170,52,807,961,2.49E+04,26.22,34.64,5.76E+04,0.1382,7706,770.6,5.186,0.1905,34.73,34.73,53.63,16.11,28.99,216.8,70.47,1799,340.5
82,2,980,675,53,480,741,1.97E+04,23.02,34.54,4.55E+04,0.04534,1997,199.7,6.804,0.2575,14.07,10.05,7.962,10.33,9.375,213.7,278.5,1070,194.1
83,2,894,1634,44,759,1359,3.64E+04,31.18,34.38,8.42E+04,0.1983,1.62E+04,1616,8.737,0.3886,25.99,25.99,38.4,14.07,40.31,210.1,81.96,1692,268.8
84,2,1463,766,33,1185,1464,3.94E+04,32.36,34.31,9.10E+04,0.1702,1.50E+04,1499,8.684,0.3818,27.5,27.5,41.08,14.81,39.41,239.3,92,2642,352.4
85,2,509,1353,28,453,959,2.50E+04,26.19,34.29,5.78E+04,0.07533,4210,421,8.825,0.4114,13,13,11.68,6.115,18.24,250.3,135.4,1010,176.2
86,2,1169,1888,18,709,1006,2.67E+04,26.82,34.27,6.17E+04,0.154,9193,919.3,7.137,0.3357,21.51,21.51,30.2,12.67,28.88,193.8,85.55,1581,218
87,2,1644,552,44,1800,7704,2.09E+05,74.23,34.26,4.82E+05,0.4939,2.30E+05,2.30E+04,19.04,0.8487,24.71,24.71,36.1,7.456,31.44,65.8,16.2,4013,313.6
88,2,1243,750,55,403,635,1.65E+04,21.31,34.17,3.81E+04,0.06126,2257,225.7,6.959,0.2949,14.07,8.27,nan,32.31,nan,nan,nan,898.6,164.3
89,2,324,2066,39,5530,1.45E+04,3.75E+05,101.9,34.12,8.66E+05,-0.424,-3.55E+05,3.55E+04,19.33,0.9161,48.16,34.76,64.13,24.79,32.04,-78.1,32.06,1.23E+04,1081
90,2,995,636,60,1240,1859,4.92E+04,36.46,33.98,1.14E+05,0.1792,1.97E+04,1971,9.055,0.4666,12.81,9.088,nan,40.54,nan,nan,nan,2765,403.2
91,2,450,1910,13,333,601,1.59E+04,20.73,33.91,3.68E+04,0.1015,3618,361.8,8.66,0.3699,14.51,14.51,15.7,5.123,37.02,376.9,132.6,742.5,134.4
92,2,1506,440,35,1155,2047,5.40E+04,38.26,33.82,1.25E+05,0.1362,1.64E+04,1644,6.943,0.2882,18.83,12.07,17.04,9.909,7.627,57.88,34.49,2575,283.7
93,2,1447,838,30,770,1447,3.89E+04,32.17,33.79,8.99E+04,0.02159,1878,187.8,6.961,0.2953,20.75,20.75,28.76,9.964,17.96,859.5,318.4,1717,244.9
94,2,510,1564,41,1166,1842,4.80E+04,36.3,33.78,1.11E+05,0.1594,1.71E+04,1710,10.48,0.4765,31.52,31.52,48.12,8.914,55.25,358.3,82.16,2600,373.3
95,2,1144,1212,55,801,1960,5.21E+04,37.44,33.73,1.21E+05,0.1659,1.93E+04,1934,13.91,0.6268,12.84,12.84,11.2,2.408,20.82,129.7,32.9,1786,265.8
96,2,1822,290,25,1132,2782,7.43E+04,44.6,33.71,1.72E+05,0.2478,4.12E+04,4119,10.59,0.5021,26.04,17.48,29.88,12.52,22.59,94.23,41.58,2524,313.6
97,2,1789,303,36,2333,5434,1.42E+05,62.34,33.65,3.28E+05,0.3998,1.27E+05,1.27E+04,13.93,0.6296,32.46,17.63,34.67,16.45,23.74,61.39,30.28,5202,418.1
98,2,1446,1440,45,462,868,2.24E+04,24.92,33.59,5.17E+04,0.07817,3909,390.9,7.182,0.3463,21.63,9.105,14.5,5.363,16.75,221.5,87.54,1030,167.2
99,2,855,2206,54,2022,3989,1.05E+05,53.41,33.58,2.43E+05,1.161,2.73E+05,2.73E+04,12.19,0.5484,26.46,17.45,30.16,10.43,21.33,18.99,7.048,4508,570.4
100,2,882,1274,40,2345,3881,1.02E+05,52.68,33.56,2.35E+05,0.2988,6.79E+04,6789,8.66,0.373,41.18,41.18,64.58,20.21,23.89,82.62,28.06,5229,510.7
101,2,447,1365,47,1644,3231,8.41E+04,48.07,33.42,1.94E+05,0.1223,2.30E+04,2301,12.56,0.6334,40.54,40.54,63.49,24.68,59.65,504.1,208.6,3666,415.1
102,2,292,2130,31,1082,2057,5.47E+04,38.35,33.42,1.26E+05,0.192,2.35E+04,2347,8.539,0.3432,27.16,27.16,40.48,16.01,27.06,145.6,60.57,2413,289.7
103,2,1439,816,35,1009,2333,6.02E+04,40.85,33.41,1.39E+05,-0.0169,-2275,227.5,15.78,0.7369,13.83,8.601,2.042,35.5,4.236,-259,4502,2250,349.4
104,2,1492,651,37,639,1024,2.66E+04,27.06,33.41,6.16E+04,0.1094,6516,651.6,5.351,0.2311,29.87,9.544,21.05,22.91,11.34,107.1,117.4,1425,241.9
105,2,1237,760,57,736,1637,4.32E+04,34.22,33.35,9.99E+04,0.1266,1.22E+04,1223,12.77,0.6889,14.26,10.54,9.334,5.011,17.67,144.2,80.27,1641,212
106,2,1541,1217,40,508,1069,2.77E+04,27.65,33.23,6.41E+04,0.05062,3137,313.7,8.856,0.4165,12.96,9.801,5.051,14.02,7.163,146.3,406.5,1133,182.2
107,2,1299,1691,29,465,739,1.90E+04,22.99,33.14,4.38E+04,0.09795,4152,415.2,5.227,0.2001,17.07,17.07,21.45,1.496,15.5,163.5,23.54,1037,197.1
108,2,952,628,59,469,561,1.48E+04,20.03,33.12,3.43E+04,0.06849,2272,227.2,5.123,0.1768,20.49,8.096,11.31,13.8,10.03,151.4,185.5,1046,191.1
109,2,402,1643,39,2893,5945,1.51E+05,65.2,33.08,3.49E+05,0.1264,4.27E+04,4270,12.32,0.5758,30.76,12.88,27.15,8.545,13.66,111.7,38.35,6451,734.7
110,2,917,1530,49,1098,1697,4.40E+04,34.84,32.76,1.02E+05,0.1848,1.82E+04,1819,7.078,0.3218,26.44,16.09,28.53,13.43,16.27,91.02,44.57,2448,424.1
111,2,572,819,46,1982,3007,7.84E+04,46.37,32.66,1.81E+05,0.2436,4.27E+04,4271,14.12,0.6725,32.76,21.17,39.02,12.35,49.75,211.1,72.89,4419,507.7
112,2,922,1314,33,486,774,2.02E+04,23.53,32.54,4.66E+04,0.04617,2081,208.1,5.336,0.2271,18.73,18.73,24.83,10.31,17.58,393.5,171.3,1084,197.1
113,2,562,1934,18,496,1019,2.70E+04,27,32.51,6.23E+04,0.09162,5525,552.5,8.778,0.3958,12.05,7.268,nan,5.271,nan,nan,nan,1106,167.2
114,2,987,1157,48,1024,2674,6.99E+04,43.73,32.41,1.61E+05,0.09893,1.55E+04,1545,8.814,0.4045,22.71,14.76,23.99,9.189,13.38,139.7,56.78,2283,277.7
115,2,1177,2021,54,1602,2713,7.00E+04,44.05,32.37,1.62E+05,0.1388,2.17E+04,2174,12.41,0.602,10.75,10.75,nan,23.38,nan,nan,nan,3572,451
116,2,383,1555,46,875,1156,3.05E+04,28.75,32.23,7.06E+04,0.1219,8320,832,6.886,0.275,31.94,31.94,48.83,9.95,38.01,322.3,77.56,1951,295.7
117,2,664,700,41,445,656,1.71E+04,21.66,32.16,3.95E+04,0.08728,3337,333.7,6.916,0.2832,16.66,8.25,7.282,22.14,10.21,120.9,367.8,992.2,158.3
118,2,1395,2024,54,420,558,1.48E+04,19.98,32.13,3.41E+04,0.0234,772,77.2,nan,nan,13.66,13.66,13.51,8.177,nan,nan,nan,936.5,173.2
119,2,821,1025,40,2790,6168,1.57E+05,66.42,32.02,3.62E+05,0.2785,9.76E+04,9759,12.32,0.578,23.77,16.08,26.46,10.35,12.85,47.68,19.77,6221,651
120,2,1036,1545,57,925,1210,3.15E+04,29.42,31.96,7.28E+04,0.08664,6105,610.5,6.986,0.3004,28.69,28.69,43.18,15.88,33.52,399.9,156.2,2062,274.8
121,2,1721,306,33,559,699,1.77E+04,22.36,31.87,4.09E+04,0.06138,2426,242.6,12.48,0.6147,17.84,3.709,nan,2.139,nan,nan,nan,1246,247.9
122,2,414,1347,49,609,1082,2.83E+04,27.82,31.83,6.55E+04,0.04483,2841,284.1,8.755,0.394,11.12,11.12,4.03,5.92,5.462,125.9,185.7,1358,200.1
123,2,1169,2218,40,1299,1680,4.36E+04,34.66,31.81,1.01E+05,0.02014,1963,196.3,6.929,0.2869,39.16,39.16,61.18,15.79,33.77,1733,500.7,2896,427.1
124,2,1350,1245,54,234,509,1.33E+04,19.08,31.62,3.08E+04,0.04767,1420,142,7.1,0.3265,12.98,6.01,nan,8.179,nan,nan,nan,521.8,116.5
125,2,1006,1470,36,972,1438,3.72E+04,32.07,31.52,8.60E+04,0.2194,1.82E+04,1824,5.226,0.2,40.07,40.07,62.7,6.872,23.07,108.7,18.15,2167,361.4
126,2,1821,250,35,1993,3556,8.97E+04,50.43,31.46,2.07E+05,0.1204,2.42E+04,2416,14.09,0.665,14.05,10.12,8.083,10.08,8.967,76.97,96.6,4444,474.8
127,2,528,1929,27,411,561,1.45E+04,20.03,31.33,3.35E+04,0.04032,1306,130.6,7.017,0.3074,14.04,5.298,nan,3.856,nan,nan,nan,916.4,176.2
128,2,904,2293,57,668,1010,2.60E+04,26.88,31.32,6.00E+04,0.2213,1.28E+04,1284,8.752,0.3914,18.04,18.04,23.45,9.596,34.68,162,69.77,1489,253.8
129,2,1593,2033,44,1506,3548,9.18E+04,50.37,31.25,2.12E+05,0.007614,1562,156.2,8.815,0.4055,26.67,26.67,39.61,6.578,16.81,2282,489.7,3358,310.6
130,2,1143,2283,41,705,1764,4.54E+04,35.52,31.11,1.05E+05,-0.03298,-3349,334.9,12.39,0.6013,15.15,15.15,17.21,5.935,29.15,-913.5,339.8,1572,224
131,2,416,1934,45,676,1168,3.00E+04,28.9,31.06,6.93E+04,0.08061,5405,540.5,8.77,0.3966,17.21,17.21,21.73,5.205,27.93,358.1,98.43,1507,203.1
132,2,1325,1673,59,468,703,1.77E+04,22.42,31.05,4.10E+04,0.01486,589.3,58.93,5.202,0.1942,22.03,7.542,11.35,23.7,8.682,603.7,1263,1044,197.1
133,2,1247,1298,44,516,829,2.11E+04,24.35,31.04,4.88E+04,0.1111,5249,524.9,6.995,0.2994,14.59,14.59,15.88,9.183,18.43,171.5,101.7,1151,206.1
134,2,955,704,47,928,1178,2.98E+04,29.03,31.04,6.89E+04,0.06148,4100,410,6.93,0.2846,22.99,9.834,16.94,15.63,13.67,229.8,214.1,2069,289.7
135,2,1586,994,47,939,2128,5.47E+04,39.01,30.94,1.27E+05,-0.02286,-2798,279.8,12.31,0.5738,29.12,29.12,43.93,12.06,60.95,-2756,844.9,2094,322.5
136,2,1887,1745,41,1027,1904,4.87E+04,36.9,30.89,1.13E+05,0.147,1.60E+04,1602,6.963,0.2924,23.26,23.26,33.46,8.766,16.69,117.3,34.34,2290,337.5
137,2,669,1603,45,471,600,1.52E+04,20.71,30.84,3.52E+04,0.01279,435,43.5,nan,nan,16.47,16.47,20.17,9.201,nan,nan,nan,1050,212
138,2,497,1635,41,246,553,1.41E+04,19.89,30.72,3.26E+04,0.02724,859,85.9,6.969,0.2937,11.02,6.831,nan,2.068,nan,nan,nan,548.5,113.5
